have (had; had )|иметь; получать; быть должным  
stand (stood ; stood)|стоять; ставить; терпеть; стойка 
good|хороший; добро
find (found ; found)|находить, обнаруживать 
again|опять, снова
little|маленький  
try|пытаться,
too|также; слишком
still|тихий;все еще
hear (heard ; heard)|слышать; слушать 
walk|ходьба; ходить
before|перед;раньше
leave (left; left)|покидать
sit (sat ; sat)|сидеть
let (let; let)|позволять
long|длинный;долго
call|призыв; звать 
feel (felt; felt)|чувствовать
close|близкий, тесный;близко; закрывать(ся) 
very|очень 
why|почему 
which|который; что 
car|автомобиль, машина
any|какой-нибудь 
hold (held; held)|держать; владеть; вмещать  
work|работа; работать
run (ran ; run)|бежать
never|никогда  
start|начало; начинать(ся)
even|даже; ровно 
light|1) свет; (lit, lighted; lit, lighted ) освещать(ся)
than|чем, нежели  
after|после, через;
put (put; put)|положить 
yes|да  
stop|остановка; останавливать(ся)  
old|старый  
watch|1) смотреть, следить; наблюдение; 2) часы
first|первый; сначала
may|(прош. вр. might) мочь и др.; май (месяц) 
talk|разговор;говорить
another|другой
cut (cut; cut)|резать 
mean|середина; (meant; meant ) значить; подразумевать 
pull|тянуть, тащить 
behind|за;сзади,
smile|улыбка; улыбаться
our|наш 
toward(s)|к 
much|много;много
its|его, её (о предм.) 
house|дом  
keep (kept; kept)|держать
place|место;помещать
begin (began ; begun|[bI'gAn]) начинать(ся); приступать (к)
nothing|ничего 
year|год
woman|(мн. ч. women )
side|сторона
because|потому что
three|три
seem|казаться
wait|ждать
need|нуждаться 
moment|мгновение, момент  
himself|себя; сам
stare|уставиться (на)
arm|1) рука; 2)~s оружие
use|применение, польза; v - употредлять, применять и др.
voice|голос   
last|последний 
late|поздний;поздно
across|через, сквозь;поперек
sure|уверенный;конечно
front|передний 
sound|звук; звучать
big|большой  
really|действительно
name|имя; название
should|1) вспом. гл.; 2) как модальный: должен, следует 
new|новый
anything|что-нибудь; что угодно 
against|против 
guy|парень
kill|убивать
point|острие; точка; пункт; смысл; указывать на 
small|маленький  
happen|случаться
wall|стена
black|черный 
step|шаг; шагать
window|окно
life|жизнь
maybe|может быть
fall (fell; fallen )|падать, понижаться; падение; осень
own|свой; владеть 
far|дальний;далеко
under|под; ниже 
boy|мальчик, парень  
end|конец; кончать(ся)
those|те
reach|достигать 
while|в то время как
floor|пол; этаж  
street|улица
help|омощь; помогать
girl|девочка, девушка  
next|следующий; будущий; потом, затем; рядом 
few|немного; a ~
white|белый   
must|должен, обязан
feet|(мн. ч. от foot) ноги
table|стол   
these|эти
show|показ; (showed ; shown [Soun], редк. showed) показывать 
okay или OK|хорошо!, ладно!, есть!  
enough|достаточно
phone|телефон; звонить по телефону 
body|тело
same|тот же самый
minute|минута
shake (shook ; shaken|['SeIkn]) трясти(сь); дрожать; потрясать
water|вода
fire|огонь; пожар; стрелять; поджигать 
inside|внутренний;внутри; внутрь  
break (broke ; broken|[broukn]) ломать(ся); пролом; перерыв 
ever|когда-либо 
follow|следовать (за)
second|секунда; второй 
nod|кивать головой; кивок
meet (met; met)|встречать(ся); знакомиться
great|большой, великий
yeah|разг. от yes - да
each|каждый, всякий  
mind| разум; мнение
suddenly|вдруг
dead|мертвый  
almost|почти 
gun|огнестр. оружие
both|оба
speak (spoke ; spoken|[spoukn]) говорить, разговаривать 
love|любовь; любить 
pick|собирать; выбирать
home|дом  
without|без  
win (won; won )|выиграть
once|однажды 
word|слово
better|лучше 
every|каждый 
god|бог 
build (built; built)|строить; building также здание
until|до тех пор пока
beat (beat; beaten )|бить 
course|курс; of course- конечно
lot|жребий, судьба; a lot of, lots of –много, масса 
drive (drove ; driven|ехать; управлять (автомоб.); езда
bring (brought; brought )|приносить; приводить; привозить 
along|по; вперед
five|пять   
hard|твердый, трудный;сильно, упорно
air|воздух; воздушный 
continue|продолжать(ся)
most|большинство; наибольший;наиболее  
pass|проходить, проезжать; выдержать (экзамен); пропуск
always|всегда   
kid|ребенок, малыш; подшучивать; обманывать 
believe|верить  
half|половина    
line|линия; проводить линии; выстраивать(ся) в ряд  
high|высокий; высший;высоко
set (set; set)|ставить, помещать; комплект, набор   
read (read ; read|[red])|читать
world|мир, вселенная  
hour|час   
office|контора 
play|игра; играть  
young|молодой, юный
answer|ответ; отвечать
shoot (shot; shot)|стрелять
dark|темнота;
laugh|смех; смеяться
bed|кровать, постель  
thank|благодарить
remember|помнить,
drop|капля; капать
friend|друг, подруга 
though|однако; хотя
glass|стекло; стакан
hair|волос, волосы 
hell|ад, преисподняя
catch (caught ; caught)|ловить, поймать, застигнуть; захват
mother|мать
four|четыре
listen|слушать
understand (understood ; understood)|понимать
sir|сэр, господин   
lose (lost; lost)|терять; проигрывать; отставать (о часах) 
lie|1) (lay ; lain [leIn]) лежать; 2) ложь; лгать
between|между
live|жить
money|деньги
father|отец
morning|утро
red|красный
please|нравиться  
everything|всё
slowly|медленно
rise (rose ; risen|[rIzn]) подниматься, вставать; восходить    
die|умирать
else|еще; кроме 
kind|сорт, вид; добрый, любезный 
wear (wore ; worn|[wLn]) носить (одежду и т.п.); одежда  
hit (hit; hit)|ударять(ся); попадать; удар; попадание
hang (hung; hung ;|висеть; вешать;  hanging вешание; висячий
many|многие, множество; многие, много
someone|кто-то
drink (drank ; drunk[drANk])|пить; выпивать; питье 
stay|пребывание; оставаться; жить  
shoulder|плечо  
past|прошлое; прошлый; после, за; мимо  
grab|хватать(ся)
question|вопрос; проблема; распрашивать 
part|часть; роль 
case|1)  случай; обстоятельство; 2) ящик, чемодан  
mouth|рот
throw (threw ; thrown[Troun])|бросать, кидать 
enter|входить (в) 
hundred|сто  
cover|(по)крышка; покрывать, прикрывать   
blood|кровь   
check|проверка, контроль; проверять, контролировать  
outside|наружный, внешний;снаружи 
large|большой, крупный
change|изменение, перемена; менять(ся), изменять(ся)
push|толчок; толкать(ся); нажимать 
sorry|сожалеющий  
bad|плохой  
top|верх; верхний 
chair|стул, кресло  
finger|палец
lead (led; led)|вести 
scream|крик, вопль; кричать, вопить  
ground|земля   
already|уже
forward|вперед; передний 
figure|фигура; цифра; вычислять; понимать  
touch|прикосновение; трогать, касаться  
become (became ; become)|становиться, делаться  
yet|еще; однако 
also|также  
desk|письменный. стол 
clear|очищать; чистый
real|действительный  
carry|нести; везти  
sleep (slept; slept)|спать
glance|(быстрый) взгляд; (мельком) взглянуть  
seat|сиденье; место; усаживать; вмещать  
matter|дело, вопрос; иметь значение   
number|число  
ship|корабль, судно  
full|полный  
police|полиция  
twenty|двадцать 
send (sent; sent)|посылать; отправлять; присылать  
gonna|сокр. = going to– собираться что-либо сделать  
together|вместе
ten|десять 
roll|рулон; раскат; катить(ся); грохотать; качать(ся)
return|возврат; ответный; возвращать(ся); отвечать
such|такой  
near|ближний;близко; около; приближаться  
miss|промахнуться; промах; Miss- мисс (дев. или незамужн. ж.)
pay (paid; paid )|платить; плата   
paper|бумага; газета
rest|отдыхать; лежать; покой, отдых; the ~ остаток 
appear|появляться 
park|парк   
above|над; свыше;наверху, выше    
onto|на   
control|управление, контроль; управлять 
fly|1) (flew ; flown [floun]) лететь, летать; мчаться; 2) муха  
pause|пауза, перерыв; делать паузу, перерыв   
road|дорога; путь
probably|вероятно
finally|в заключение
guard|стража, охрана; часовой; охранять; защищать  
draw (drew ; drawn|[drLn]) 1) тащить, тянуть; 2) чертить, рисовать
city|город  
deep|глубокий;
job|работа; дело  
ring|1) (rang ; rung [rAN]) звонить, звенеть; звонок; 2) кольцо; круг
fight|бой; драка; (fought; fought ) бороться, сражаться
leg|нога; ножка  
wonder|удивление; удивляться; интересоваться  
lean|1) прислонять(ся); наклонять(ся); 2) тощий, худой  
since|с;с тех пор; с тех пор как  
hope|надежда; надеяться
left|левый;налево 
sign|знак; подписывать(ся)
cross|крест; пересекать; переходить; скрещивать  
suppose|предполагать
order|порядок; приказ; заказ; приказывать; заказывать  
eat (ate ; eaten|['Jtn]) есть
corner|угол   
wrong|неправильный; не тот;неправильно, неверно  
tear|1) (tore ; torn [tLn]) рвать(ся); разрыв; чаще: 2) [tIq] слеза
shit|восклиц. обычно перев. словом "черт"; груб. дерьмо; гадить
six|шесть  
soon|скоро, вскоре  
fast|быстрый; прочный;быстро; прочно 
bill|счет; банкнота  
quickly|быстро  
shadow|тень  
wife|жена  
dress|платье, одежда; одевать(ся)  
damn|проклятие; проклинать; в знач. междомет.: черт!
guess|думать, полагать
myself|себя; сам
care|забота;заботиться
raise|поднимать 
mile|миля (сухопутн. м. =1609м; морск. м. =1853м) 
land|земля; почва; страна; приземляться; высаживаться 
perhaps|может быть,
bar|1) бар, буфет; 2) засов; преграда; решетка  
blue|синий, голубой 
idea|идея, мысль 
death|смерть   
alone|один, одинокий
best|(наи)лучший;лучше всего; больше всего 
dad, daddy|папа
whole|весь, целый  
tree|дерево    
force|сила; насилие; ~s войска; заставлять, принуждать  
fill|наполнять(ся) 
crowd|толпа; толпиться; набиваться битком
shut (shut; shut)|закрывать(ся); перекрывать; запирать  
business|дело, занятие
blow|1) (blew ; blown [bloun]) дуть; раздувать; 2) удар   
cry|крик; кричать 
write (wrote ; written|['rItn])
notice|извещение; внимание; обращать внимание   
fine|прекрасный; ясный
quite|вполне, совсем
power|сила, энергия 
fact|факт    
pretty|хорошенький  
week|неделя    
nice|хороший; милый   
lock|замок; запирать 
story|повесть, рассказ
dog|собака 
least|наименьший;наименее; n: the ~ самое меньшее 
empty|пустой  
everyone|каждый
wave|волна; взмах (рукой); махать (рукой); развеваться 
several|несколько
silence|молчание 
short|короткий  
cold|холодный
problem|проблема 
fucking|руг. груб. чертов, долбаный, траханный и т.п.
cop|полицейский
thousand|тысяча
approach|приближение; приближаться (к) 
realize|представлять себе, понимать, осознавать 
rock|камень; скала; качать(ся)
piece|кусок; штука   
wind|1) ветер;запах; чуять; 2) (wound; wound [waund]) виться,
box|коробка, ящик  
either|любой (из двух);также (при отриц.) 
sort|сорт, род, вид  
kiss|поцелуй; целовать(ся)
edge|острие, лезвие; край, кромка; точить; окаймлять 
interest|интерес; (за)интересовать  
surprise|удивление; сюрприз; удивлять   
bit|кусочек; a ~ немного 
forget (forgot|; forgotten fq'gOtn]) забывать, не помнить  
stick|1) (stuck; stuck ) втыкать, прикалывать; липнуть; 2) палка
heart|сердце
finish|окончание; заканчивать(ся), кончать(ся)  
fuck|руг. груб. типа: к черту!; ( траханье; трахать) 
grow (grew ; grown|[groun]) расти; увеличиваться; становиться
ago|тому назад  
bag|мешок, сумка 
sense|чувство, ощущение; чувствовать, осознавать  
picture|картина 
ready|готовый   
chance|случай, шанс 
worry|беспокоить(ся
ahead|вперед; впереди
couple|два, пара   
press|1) пресса, печать; 2) нажимать, давить   
doctor|врач, доктор  
book|книга   
officer|офицер 
anyone|кто-нибудь
son|сын
pocket|карман
human|человеческий
family|семья   
safe|безопасный  
burn|(бр. burnt, burnt ; ам. burned, burned [bWnd]) жечь; гореть  
breath|дыхание; вздох
early|ранний;рано
jump|прыжок; прыгать
lift|лифт; поднимать
green|зеленый  
reason|причина; разум  
lay|(laid; laid leId]) класть, положить; (lay также и прош. вр. от lie лежать)
free|свободный     
machine|машина  
beside|рядом с; около
stuff|все, что угодно: вещь, штука, барахло и т.п. 
wide|широкий; широко
round|круглый; круг; огибать; вокруг
expect|ожидать 
neck|шея; горлышко(бут.)
careful|осторожный; внимательный  
lip|губа
school|школа
hide (hid; hidden )|прятать(ся); скрывать(ся); шкура 
deal|(некоторое) количество; доля; сделка, соглашение; реже (dealt; dealt ) распределять, выдавать
whisper|шепот; шептать
space|пространство, место; расстояние; космос
herself|себя; сама 
baby|ребенок; малыш
climb|подниматься(на)
easy|легкий;легко 
plan|план;
yourself|себя; сам 
trouble|заботы, беспокойство; беспокоить(ся)  
slide (slid; slid)|скользить, поскользнуться; скольжение 
thirty|тридцать  
train|1) поезд; 2) воспитывать; тренировать(ся) 
low|низкий;низко  
key|ключ
different|различный
swing (swung; swung )|качать(ся; колебание; размах 
coffee|кофе
radio|радио 
hotel|гостиница,
anyway|в любом случае
shout|крик; кричать 
state|1) штат; государство; государственный; 2) состояние; излагать
study|изучение; обучение, занятия; учить(ся)
foot|(мн. ч. feet) 1) ступня, нога; 2) подножие; 3) фут =30,48 см  
slow|медленный; замедлять(ся)
station|станция; вокзал
brother|брат   
hurt (hurt; hurt)|ушибить; болеть, причинять боль 
game|игра   
heavy|тяжелый 
lady|дама; госпожа   
below|ниже, под;внизу  
kitchen|кухня   
buy (bought; bought )|покупать
area|площадь; район
knock|стук; удар; стучать(ся); бить    
star|звезда
decide|решать(ся)  
view|вид; взгляд, мнение 
flash|вспышка; вспыхивать
sun|солнце
month|месяц
straight|прямой; честный;прямо; немедленно  
truck|грузовик   
shirt|рубашка (мужская)
remain|оставаться 
whatever|любой; все, что; (в отриц. предл.) вообще не 
sky|небо   
suit|удовлетворять требованиям; годиться; костюм   
hot|горячий, жаркий 
boat|лодка; судно 
ride (rode ; ridden|[rIdn]) ехать (верхом, в машине); поездка 
fear|страх; бояться 
pain|боль; страдание
note|заметка; записка; банкнота; отмечать; замечать  
sight|зрение; вид; взгляд
wish|желание; желать
slip|скольжение; ошибка; скользить; поскользнуться 
hall|зал; передняя; холл 
actually|фактически, на самом деле  
group|группа  
learn|(бр. learnt, learnt , ам. learned, learned [lWnd]) учить(ся), изучать;
race|1) раса; род; 2) гонки; мчаться; гнать 
dollar|доллар   
true|правдивый; верный 
children|(мн. ч. от child) дети 
shot|1) выстрел    
afraid|испуганный 
except|кроме
grin|усмешка; ухмыляться
cause|причина; быть причиной, причинять  
exactly|точно  
mark|знак; оценка, балл; ставить знак, отметку 
stone|камень; каменный
computer|компьютер
huge|огромный  
less|меньший;менее
explain|объяснять 
spot|пятно; место; пятнать; узнавать, отмечать  
upon prep|= on – на  
reply|ответ; отвечать
clean|чистый; чистить
centre|бр. = center ам. (1:10) центр
corridor|коридор
chest|грудная клетка 
ear|ухо   
report|доклад, сообщение; докладывать, сообщать   
dream|(бр. dreamt, dreamt ; ам. dreamed, dreamed [drJmd]) видеть во сне; мечта 
living|жизнь; живой
middle|середина; средний
wheel|колесо; катить 
bottle|бутылка   
somebody|кто-то,
able|способный; умелый 
movie|кино, фильм   
driver|водитель 
happy|счастливый 
murder|убийство; убивать  
rather|довольно; вернее, скорее   
offer|предложение; предлагать   
quiet|спокойный  
rush|спешка; бросаться
rain|дождь  
today|сегодня 
freeze (froze ; frozen|[frouzn]) замерзать; замораживать 
bank|1) берег(реки, озера); насыпь; насыпать; 2) банк
bedroom|спальня  
kick|удар ногой; пинок; ударять ногой   
field|поле   
beautiful|красивый
stair|ступенька 
form|форма; бланк; класс; формировать(ся)  
angle|угол 
darkness|темнота
card|открытка; билет
person|человек  
nobody|никто 
hole|дыра, отверстие 
earth|земля; почва   
gray|= grey (3:1) серый; седой
snap|треск; треснуть
war|война  
within|в; внутри
music|музыка   
skin|кожа; шкура   
sea|море   
cigarette|сигарета 
lower|нижний; спускать(ся); понижать(ся)   
attention|внимание 
direction|направление
ice|лед
knee|колено
search|поиски; искать
company|компания
eight|восемь  
block|глыба; квартал (города); преграждать; блокировать  
save|спасать; экономить
smell|(бр. smelt, smelt , ам. smelled, smelled [smeld]) нюхать; пахнуть; запах   
track|след; тропинка; колея ж/д; следить (за)   
weapon|оружие  
horse|лошадь, конь  
apartment|комната;
reveal|открывать, разоблачать; обнаруживать  
charge|заряд; нагрузка; поручение; заряжать; нагружать
record|запись; пластинка; записывать  
clothes|одежда, платье
child|(мн. ч.- children) ребенок
beyond|за; вне, сверх, выше;вдали  
spend (spent; spent)|тратить, расходовать 
tonight|сегодня вечером
loud|громкий; громко
tire|утомлять(ся), уставать
shrug|пожимать (плечами)
slam|со стуком/шумом закрыть, захлопнуть, швырнуть  
position|положение 
arrive|прибывать 
animal|животное 
brown|коричневый 
somewhere|где-нибудь, куда-нибудь   
tape|лента; записывать
soldier|солдат  
nose|нос; обоняние 
tight|тугой;туго 
paint|краска; красить
agent|агент 
hate|ненавидеть   
knife|нож   
colour|бр. = color ам. (1:7) цвет; краска; красить  
strike (struck; struck )|1) ударять(ся); поражать; осенять; 2) бастовать; забастовка  
party|вечеринка; партия
fifty|пятьдесят   
quick|быстрый;быстро
security|безопасность
news|новость, новости
tomorrow|завтра
strange|чужой  
speed|скорость; (sped , speeded ['spJdId]; sped, speeded) спешить
disappear|исчезать
hurry|спешка;
distance|расстояние
file|картотека; регистрировать 
deck|палуба и др.  
possible|возможный
beneath|под, ниже; внизу
bright|яркий, светлый 
country|страна; сельская местность 
handle|ручка; трогать, брать руками; управлять  
act|дело; действовать
afternoon|время после полудня
metal|металл  
telephone|телефон
evening|вечер
seven|семь
certain|определенный; уверенный; один, некий   
crash|грохот; крушение; рушиться с треском; разбиться
quietly|спокойно 
shall|1) вспом. гл. в Future Ind.; 2) как модальный  
frame|каркас; рама; кадр; составлять, формулировать 
island|остров  
store|магазин; склад;
food|пища, еда   
bathroom|ванная; туалет
mom|мама
mirror|зеркало 
plane|плоскость; самолет (=airplane); плоский  
shape|форма, вид; образ; придавать/принимать форму
sigh|вздох; вздыхать 
throat|горло  
fade|вянуть; блекнуть
important|важный
main|основной, главный
sometimes|иногда
ball|шар; мяч   
tie|соединение; лента, шнур; галстук; связывать, скреплять 
crack|треск; трещать
dance|танец; танцы (вечеринка); танцевать  
engine|машина;
exit|выход
itself|себя; сам  
letter|буква; письмо  
bear|1) медведь; 2) (bore ; borne [bLn]- носить;  bore [bL];  born [bLn]- рождать) носить; выносить, терпеть; рождать; (bore также скука; надоедать; а born также прирожденный)
board|доска; борт (судна, самолета); посадка на борт 
join|соединять(ся)
shock|удар; потрясать
everybody|все
add|прибавлять
spin (spun|, span [spxn];  spun) вертеть(ся); вращение
ass|зоол.-осел; дурак 
blade|лезвие  
yard|1) двор; 2) ярд (= 91,4 см)
hello|привет!; алло!
alive|живой
mine|мой
pack|пакет; тюк; упаковывать(ся); заполнять(ся) 
silent|молчаливый 
teeth|(мн. ч. от tooth) зубы
crazy|сумасшедший
gate|ворота, калитка 
none|никто, ничто; никакой, ни один;нисколько 
third|третий  
wake (woke|, waked [weIkt]; woken ['woukn], waked) просыпаться;
age|возраст; стареть
truth|правда, истина  
strong|сильный; крепкий
clock|часы 
camera|фото-, кинокамера  
image|образ; имидж  
noise|шум  
marry|женить(ся), выходить
wood|дерево; лес; в знач. прилагат.: лесной; деревянный  
law|закон; право   
trust|доверие; верить
consider|рассматривать, обсуждать; полагать 
million|миллион  
remove|удалять  
yell|крик; кричать 
struggle|борьба; бороться; биться; делать усилие  
promise|обещание; обещать
instead (of)|вместо,
among(st)|среди
tiny|крошечный
slightly|слегка, едва
shop|магазин  
hospital|больница  
esus|воскл. боже!
bend (bent; bent)|гнуть(ся); сгибать(ся); наклонять(ся) 
count|считать; 1) счет, подсчет; 2) граф  
cool|прохладный 
agree|соглашаться 
river|река   
scare|пугать 
during|в течение
information|информация, сведения, данные  
system|система 
surface|поверхность
service|служба  
bridge|мост
attack|нападение;
lawyer|адвокат 
sing (sang ; sung|[sAN]) петь 
motion|движение  
ray|луч   
hill|холм   
elevator|лифт  
twist|изгиб; виться
dry|сухой; сушить(ся)
thick|толстый; густой 
chief|глава; главный  
button|пуговица; кнопка
level|уровень 
general|общий; обычный; генерал  
flight|полет; рейс   
brain|мозг; ум   
page|страница
pour|лить(ся); наливать 
doorway|дверной
tall|высокий
jacket|куртка, пиджак
bone|кость; останки
sink (sank ; sunk|[sANk]) тонуть; топить; погружать(ся); опускать(ся), понижать(ся); раковина (водопроводная); впадина
gotta|разг. = (have) got to - должен, должна(…ны)  
circle|круг; окружность; вращаться   
gaze|пристальный взгляд; пристально глядеть; уставиться
soft|мягкий; нежный   
drag|тащить(ся) 
desert|пустыня; пустынный; покидать 
certainly|конечно 
fish|рыба; ловить рыбу
beach|пляж; взморье   
single|один, единственный; отдельный; одинокий  
team|команда; группа
bottom|дно; низ 
secret|секрет, тайна; секретный, тайный  
allow|позволять 
immediately|немедленно 
concern|отношение; иметь отношение (к)
husband|муж
burst (burst; burst)|взрываться; лопаться; вспышка; взрыв  
forty|сорок  
sell (sold; sold)|продавать 
leap (leapt|, leaped [lept]; leapt, leaped) прыгать, скакать; перепрыгивать; прыжок, скачок
pound|1) бить(ся), колотить(ся); бомбить; 2) фунт (=454г); 3) фунт (стерлингов) – денежн. ед. 
escape|побег; совершать побег; спастись; ускользать  
cloud|облако; туча; покрывать(ся) тучами   
rear|задняя сторона; тыл 
gold|золото; золотой
simply|просто  
message|сообщение
detective|сыщик, детектив; детективный  
manage|руководить
creature|создание,тварь
themselves|себя
roof|крыша 
inch|дюйм (= 2,54 см)
dinner|обед
gesture|жест; жестикулировать
army|армия 
switch|переключение; выключатель; переключать
nurse|няня; сиделка; ухаживать
expression|выражение
yellow|желтый
sergeant|сержант
warm|теплый; греть(ся)
roar|рев; грохот; реветь; грохотать
club|клуб 
pop|1) хлопнуть, треснуть; 2) сокр. от popular- популярный
grand|грандиозный; большой; важный; восхитительный
bite (bit; bitten)|кусать(ся); жалить; укус; кусок (пищи)
coat|пальто 
size|размер; величина; формат; определять величину
however|как бы ни; однако, тем не менее
cat|кот, кошка 
type|1) тип; род; модедь; 2) печатать на машинке
thin|тонкий; худой; редкий
dozen|дюжина 
crew|экипаж (судна и т.п.)
present|1) настоящее время; присутствующий; 2) подарок; дарить
shoe|(полу)ботинок, туфля
beer|пиво
doubt|сомнение; сомневаться
settle|поселить(ся); устраивать(ся); улаживать; решать
daughter|дочь
anybody|кто-нибудь (в вопр.); никто (в отриц.); любой (в утверд.)
grip|сжатие; хватка; схватывать(за); сжимать
completely|совершенно, полностью
nearly|почти; около 
pair|пара 
nine|девять 
gather|собирать(ся)
bud|сокр. от buddy приятель
bird|птица 
sister|сестра 
special|специальный
hallway|прихожая
base|основа; база; основывать, базировать 
mountain|гора 
flat|квартира 
sweat|пот; потеть
gently|мягко, нежно
spread (spread; spread)|распространять(ся); расстилать(ся)
wire|проволока, провод; телеграмма; телеграфировать
bullet|пуля 
stretch|растягивать(ся)
master|хозяин; мастер
cell|камера; карцер; ячейка
counter|1) прилавок; 2) противоположное; противостоять
private|1) частный; личный; 2) рядовой (воинск. звание)
king|король 
flame|пламя; сияние
sick|больной
rip|рвать(ся 
entrance|вход 
sheet|простыня; лист
entire|целый, полный, весь
steal (stole ; stolen|[stouln])
warn|предупреждать
judge|судья; судить 
perfect|совершенный
command|команда, приказ; приказывать; командовать 
sharp|острый; резкий
scene|сцена; место; явление
screen|экран; ширма; прикрывать
conversation|разговор,
dear|дорогой, милый 
whether|ли
toss|бросание; бросать 
cup|чашка; кубок 
ceiling|потолок 
fit|годный; годиться
narrow|узкий, тесный; суживать(ся); уменьшать(ся) 
imagine|воображать
hrist|Христос; восклицание: боже!; господи!
simple|простой
colonel|полковник
pilot|летчик, пилот
cheek|1) щека; 2) наглость
grace|грация, изящество 
photo|фотография 
buddy|приятель 
excuse|1) извинение; 2) извинять 
frown|хмуриться
tunnel|тоннель
fix|закреплять; чинить
hat|шляпа 
snow|снег 
planet|планета 
glow|свет; сверкать
double|двойной; удваивать; вдвое 
recognize|узнавать
sudden|внезапный 
steel|сталь; стальной 
worse|худший;хуже 
wipe|вытирать, утирать
stupid|глупый, тупой
monitor|монитор; наставник; староста (класса); наставлять
test|испытание; проверка; экзамен; испытывать, проверять
square|квадрат; площадь; сквер; квадратный 
mention|упоминание; упоминать; ссылаться на 
uniform|форменная одежда; форменный; одевать в форму
south|юг; южный;к югу, на юг(е)
travel|путешествие; путешествовать
mask|маска;
fifteen|пятнадцать
class|класс; сорт, качество; в школе- класс, урок, занятие 
path|тропинка; путь 
match|1) спичка; 2) состязание, матч; состязаться
grant|дар; стипендия; дарить, предоставлять 
memory|память
serious|серьезный 
softly|мягко, нежно 
dust|пыль; вытир. пыль
major|1) майор; 2) большой; главный 
wild|дикий; бешеный 
calm|тихий; успокаивать
dig (dug; dug )|рыть(ся) 
angry|сердитый, гневный
wet|мокрый; дождливый 
contact|контакт, связь; связаться
tank|1) танк; 2) цистерна
wrap|обертывать
action|действие 
click|щелканье; щелкать
tower|башня; вышка
crawl|ползание; ползти
whose|чей 
prepare|готовить(ся) 
thought|мысль, размышление
load|груз; грузить
situation|местоположение; ситуация 
trip|поездка, путешествие
ignore|игнорировать
lieutenant|лейтенант
enjoy|наслаждаться 
wing|крыло; воен., спорт. фланг, край; филиал; флигель (дома)
belt|пояс, ремень 
gas|газ; амер. бензин
sweep (swept; swept )|мести, чистить; сметать; нестись, мчаться
north|север; северный 
stage|1) стадия; 2) сцена
bet (bet; bet)|держать пари
bother|беспокойство; надоедать; беспокоить(ся) 
peer|всматриваться
poor|бедный; несчастный
neither|ни один (из двух); ни тот, ни другой;также не
barely|только, едва, лишь
rifle|винтовка 
west|запад; западный
row|1) ряд; этаж; 2) гребля; грести; 3) шум, гвалт; шуметь
beam|луч; сияние; сиять
storm|буря, шторм; штурм
wound|рана; ранить
plate|тарелка; пластинка
share|часть; делить(ся) 
shift|смена; менять(ся) 
drug|наркотик; лекарство
date|дата, число; свидание; датировать; назначать свидание 
plastic|пластмасса; пластичный, гибкий 
ghost|призрак, привидение
pale|бледный 
loose|свободный; незакрепленный
aside|в стороне 
emerge|появляться
hesitate|колебаться, сомневаться; не решаться
often|часто 
mistake|ошибка; редко (mistook ; mistaken [mIs'teIkn]) ошибаться
bang|удар; ударить(ся)
